transaction_id,investor_id,amfi_code,transaction_type,amount,transaction_date,kyc_status,state
TXN103011,INV4446,100022,SIP,19120.55,2024-03-25,Verified,Gujarat
TXN109189,INV4150,100025,Lumpsum,413654.42,2025-05-07,Verified,West Bengal
TXN110415,INV2463,100010,SIP,3955.24,2024-04-30,Verified,Tamil Nadu
TXN110681,INV3122,100009,SIP,11898.44,2025-06-27,Pending,Uttar Pradesh
TXN105482,INV1170,100001,Lumpsum,237538.63,2024-06-26,Verified,Uttar Pradesh
TXN102566,INV1433,100009,Redemption,275070.39,2024-07-23,Verified,West Bengal
TXN114986,INV3010,100002,SIP,16146.29,2025-11-26,Verified,Kerala
TXN104396,INV3838,100021,SIP,16017.02,2024-09-19,Verified,Tamil Nadu
TXN102375,INV1552,100024,SIP,7155.46,2026-04-22,Verified,Telangana
TXN106716,INV1796,100015,SIP,9314.88,2025-02-04,Rejected,Tamil Nadu
TXN112851,INV4678,100004,Lumpsum,328692.62,2024-08-04,Verified,Rajasthan
TXN110194,INV4110,100009,SIP,2669.58,2025-04-05,Verified,Delhi
TXN108679,INV3654,100014,Redemption,86759.95,2024-11-24,Verified,West Bengal
TXN112122,INV1544,100019,SIP,12780.46,2025-08-24,Pending,Delhi
TXN106178,INV1390,100005,SIP,8551.44,2026-03-18,Verified,Gujarat
TXN103921,INV3911,100017,SIP,24305.44,2025-04-05,Verified,Gujarat
TXN109734,INV4530,100003,SIP,24819.32,2024-10-04,Verified,Gujarat
TXN100677,INV3368,100007,Lumpsum,370382.41,2025-01-31,Verified,Karnataka
TXN109282,INV2802,100013,SIP,16615.58,2024-11-16,Verified,Gujarat
TXN108889,INV1245,100003,Lumpsum,257355.0,2025-06-18,Verified,Uttar Pradesh
TXN100638,INV1652,100019,SIP,1291.4,2024-09-15,Verified,West Bengal
TXN100558,INV3766,100005,Lumpsum,321361.99,2024-01-10,Verified,Kerala
TXN110007,INV2333,100001,Lumpsum,248801.5,2025-01-23,Verified,Maharashtra
TXN113581,INV4685,100014,Lumpsum,22462.69,2026-01-16,Verified,West Bengal
TXN104349,INV1895,100014,SIP,18355.75,2026-09-01,Verified,Delhi
TXN105133,INV2212,100018,Lumpsum,374714.68,2026-05-20,Verified,Maharashtra
TXN113212,INV3355,100008,SIP,21946.81,2024-12-20,Pending,Gujarat
TXN103014,INV1494,100011,Redemption,21099.75,2024-09-14,Verified,Tamil Nadu
TXN103216,INV4011,100007,Lumpsum,213437.14,2024-12-20,Verified,Karnataka
TXN102852,INV4176,100018,SIP,16508.26,2026-01-30,Pending,Kerala
TXN110667,INV4063,100001,Redemption,177965.29,2026-01-16,Verified,Uttar Pradesh
TXN112126,INV2160,100003,SIP,20662.66,2024-07-06,Verified,Tamil Nadu
TXN106737,INV2843,100024,Redemption,215132.4,2024-06-07,Pending,Kerala
TXN107086,INV2198,100015,Lumpsum,448008.36,2024-02-17,Verified,Kerala
TXN104186,INV2415,100024,Redemption,289868.78,2024-01-06,Verified,Karnataka
TXN100841,INV3306,100002,SIP,24234.07,2024-02-29,Verified,West Bengal
TXN109915,INV4633,100001,SIP,18380.79,2026-03-07,Verified,Uttar Pradesh
TXN108446,INV3427,100014,SIP,1089.9,2025-12-06,Pending,Maharashtra
TXN100446,INV1983,100008,SIP,21983.39,2024-09-05,Verified,Maharashtra
TXN105182,INV1374,100019,SIP,19058.88,2026-01-31,Verified,Uttar Pradesh
TXN109268,INV2823,100008,SIP,3564.31,2026-02-16,Verified,Tamil Nadu
TXN103956,INV4550,100017,Lumpsum,79611.89,2024-12-21,Verified,Tamil Nadu
TXN106844,INV1931,100020,Lumpsum,353864.48,2024-07-09,Verified,Telangana
TXN113514,INV3495,100008,SIP,2641.35,2026-06-20,Verified,Kerala
TXN105694,INV3928,100004,Lumpsum,298943.42,2024-09-21,Verified,Kerala
TXN110885,INV1161,100005,Lumpsum,105149.81,2025-08-02,Verified,Rajasthan
TXN114304,INV3153,100020,SIP,13762.25,2025-09-20,Verified,Karnataka
TXN107768,INV1736,100002,SIP,11924.9,2025-12-15,Verified,West Bengal
TXN109601,INV4951,100010,Redemption,237565.41,2024-06-20,Verified,Delhi
TXN106248,INV1571,100016,Lumpsum,180045.61,2025-07-30,Verified,Maharashtra
TXN113400,INV4015,100006,SIP,2311.18,2024-08-20,Verified,Karnataka
TXN101745,INV2340,100004,Lumpsum,443382.8,2026-01-12,Rejected,West Bengal
TXN111488,INV4842,100019,Lumpsum,288303.65,2025-09-26,Pending,Delhi
TXN105150,INV4522,100006,SIP,18657.82,2025-02-10,Verified,Delhi
TXN103798,INV1062,100003,SIP,14838.73,2024-01-26,Verified,Rajasthan
TXN107030,INV1216,100023,SIP,4193.9,2024-01-30,Verified,Tamil Nadu
TXN104309,INV2760,100020,SIP,23061.11,2025-02-03,Pending,Rajasthan
TXN102688,INV2772,100012,Lumpsum,106454.04,2025-07-10,Verified,Delhi
TXN110508,INV2799,100020,SIP,14663.37,2026-04-15,Verified,Uttar Pradesh
TXN110570,INV1716,100023,Lumpsum,303201.56,2024-10-23,Verified,Telangana
TXN113722,INV3674,100007,SIP,20204.69,2026-01-22,Verified,Kerala
TXN110408,INV3068,100012,Redemption,43393.57,2025-01-27,Verified,Telangana
TXN108083,INV3129,100021,SIP,576.22,2025-09-10,Verified,Maharashtra
TXN100718,INV2496,100018,SIP,21736.18,2025-08-30,Verified,Tamil Nadu
TXN103232,INV1562,100021,Lumpsum,139043.67,2025-10-08,Verified,Gujarat
TXN107951,INV2767,100017,SIP,14144.86,2025-10-11,Verified,Telangana
TXN104184,INV3132,100012,Redemption,19165.37,2025-07-05,Verified,Tamil Nadu
TXN114885,INV3721,100013,SIP,13712.05,2026-04-08,Verified,Karnataka
TXN110304,INV3518,100024,Lumpsum,383705.89,2025-01-08,Verified,Delhi
TXN103219,INV3586,100003,Lumpsum,43360.53,2026-04-02,Verified,Uttar Pradesh
TXN104390,INV4507,100005,Redemption,101479.26,2024-01-27,Verified,West Bengal
TXN101944,INV2622,100011,SIP,22986.76,2025-02-24,Rejected,Uttar Pradesh
TXN113230,INV1507,100021,SIP,11401.32,2026-03-10,Verified,Kerala
TXN110610,INV3918,100003,SIP,7710.93,2025-01-10,Verified,West Bengal
TXN106568,INV2343,100021,SIP,1827.92,2025-01-19,Verified,West Bengal
TXN103138,INV3770,100001,Redemption,151119.41,2025-03-02,Verified,Telangana
TXN105421,INV2668,100003,SIP,2339.03,2024-09-03,Verified,Rajasthan
TXN113494,INV4573,100011,SIP,15148.79,2025-10-21,Verified,Delhi
TXN112840,INV1205,100001,SIP,16724.24,2025-05-30,Verified,Delhi
TXN111988,INV1045,100004,SIP,5350.6,2025-12-02,Verified,Gujarat
TXN110297,INV2271,100023,SIP,2456.42,2025-04-15,Verified,Maharashtra
TXN108625,INV3240,100007,SIP,10856.32,2025-10-24,Verified,Karnataka
TXN114834,INV1949,100020,SIP,13569.3,2026-04-10,Verified,Delhi
TXN103310,INV2916,100010,Redemption,6559.03,2026-05-18,Rejected,Karnataka
TXN103966,INV3716,100024,Redemption,60689.56,2024-08-01,Verified,Delhi
