amfi_code,scheme_name,nav_date,nav
100001,HDFC Large Cap Fund - Direct Plan,2024-01-01,102.1315
100001,HDFC Large Cap Fund - Direct Plan,2024-01-02,99.1125
100001,HDFC Large Cap Fund - Direct Plan,2024-01-03,102.6821
100001,HDFC Large Cap Fund - Direct Plan,2024-01-04,103.543
100001,HDFC Large Cap Fund - Direct Plan,2024-01-08,102.6907
100001,HDFC Large Cap Fund - Direct Plan,2024-01-09,102.2521
100001,HDFC Large Cap Fund - Direct Plan,2024-01-10,121.2594
100001,HDFC Large Cap Fund - Direct Plan,2024-01-12,100.2212
100001,HDFC Large Cap Fund - Direct Plan,2024-01-15,100.9058
100001,HDFC Large Cap Fund - Direct Plan,2024-01-16,99.706
100001,HDFC Large Cap Fund - Direct Plan,2024-01-17,99.3944
100001,HDFC Large Cap Fund - Direct Plan,2024-01-18,98.8339
100001,HDFC Large Cap Fund - Direct Plan,2024-01-19,98.3075
100001,HDFC Large Cap Fund - Direct Plan,2024-01-22,96.6542
100001,HDFC Large Cap Fund - Direct Plan,2024-01-23,96.1965
100001,HDFC Large Cap Fund - Direct Plan,2024-01-24,96.6853
100001,HDFC Large Cap Fund - Direct Plan,2024-01-25,98.6941
100001,HDFC Large Cap Fund - Direct Plan,2024-01-26,99.0349
100001,HDFC Large Cap Fund - Direct Plan,2024-01-29,99.1615
100001,HDFC Large Cap Fund - Direct Plan,2024-01-30,98.7823
100001,HDFC Large Cap Fund - Direct Plan,2024-01-31,98.3376
100001,HDFC Large Cap Fund - Direct Plan,2024-02-02,99.373
100001,HDFC Large Cap Fund - Direct Plan,2024-02-04,104.0873
100001,HDFC Large Cap Fund - Direct Plan,2024-02-05,98.8975
100001,HDFC Large Cap Fund - Direct Plan,2024-02-07,98.0214
100001,HDFC Large Cap Fund - Direct Plan,2024-02-08,97.6324
100001,HDFC Large Cap Fund - Direct Plan,2024-02-09,97.6573
100001,HDFC Large Cap Fund - Direct Plan,2024-02-10,97.5074
100001,HDFC Large Cap Fund - Direct Plan,2024-02-12,97.8403
100001,HDFC Large Cap Fund - Direct Plan,2024-02-13,96.8794
100001,HDFC Large Cap Fund - Direct Plan,2024-02-14,97.7548
