amfi_code,period_end_date,returns_1y_pct,returns_3y_pct,returns_5y_pct,expense_ratio_pct,aum_cr,is_return_anomaly,is_expense_ratio_out_of_range
100013,2024-04-01,20.93,6.92,23.66,0.56,1395.4,False,False
100017,2025-11-01,12.69,14.33,9.59,0.81,13446.37,False,False
100008,2024-03-01,11.96,15.97,12.46,0.48,13508.91,False,False
100009,2024-02-01,26.12,8.81,11.5,0.69,9817.29,False,False
100012,2025-03-01,18.9,16.58,16.82,1.44,7451.01,False,False
100018,2025-01-08,15.65,7.23,8.08,0.39,18660.96,False,False
100001,2024-12-01,16.49,14.57,21.32,0.69,16160.03,False,False
100020,2025-10-01,24.52,20.61,12.32,2.95,8907.84,False,True
100006,2025-01-01,14.29,9.52,10.11,1.23,12379.69,False,False
100023,2024-10-01,11.58,25.13,22.55,1.11,3846.8,False,False
100010,2025-09-01,18.77,12.87,19.22,2.08,1128.24,False,False
100015,2024-03-01,9.12,23.3,26.04,2.03,6352.25,False,False
100002,2024-04-01,2.24,13.09,12.68,1.12,13238.69,False,False
100004,2025-05-01,14.48,23.32,2.92,0.71,12530.45,False,False
100020,2025-01-09,11.62,13.59,14.62,1.82,8547.44,False,False
100014,2024-06-01,28.23,13.43,18.73,1.82,11083.39,False,False
100014,2024-04-01,20.3,7.87,10.73,1.89,10718.88,False,False
100022,2025-05-01,19.82,24.08,18.54,0.43,4975.32,False,False
100014,2026-03-01,8.86,24.3,18.6,1.06,15424.21,False,False
100004,2026-01-02,18.8,2.25,14.46,0.71,13545.05,False,False
100017,2026-01-03,3.65,9.74,15.7,1.0,14159.65,False,False
100021,2026-05-01,14.23,12.17,8.71,1.37,7275.55,False,False
100015,2025-05-01,19.77,18.59,18.47,1.94,7473.49,False,False
100005,2025-03-01,19.39,25.26,8.0,0.82,15771.34,False,False
100002,2025-11-01,-19.74,4.75,13.46,1.23,20799.37,False,False
100022,2025-12-01,22.2,9.71,11.26,0.42,5087.21,False,False
100012,2026-03-01,8.34,8.64,21.9,0.38,6543.71,False,False
100001,2025-01-06,5.37,18.71,7.29,0.51,17268.16,False,False
100007,2025-10-01,23.49,10.06,10.39,0.39,3550.49,False,False
100007,2024-09-01,23.59,-0.1,14.72,1.74,3044.17,False,False
100021,2025-02-01,20.55,9.99,22.07,0.65,6397.94,False,False
100021,2025-06-01,4.73,17.42,7.6,1.95,6783.94,False,False
100013,2025-05-01,-0.15,10.22,11.6,0.49,1447.88,False,False
100012,2024-01-11,15.42,13.75,9.93,1.36,6507.76,False,False
100007,2024-03-01,9.68,28.4,17.15,2.08,2952.77,False,False
100007,2026-04-01,16.02,14.63,18.47,1.33,4126.84,False,False
100025,2025-11-01,7.24,8.9,16.73,1.12,4450.84,False,False
100020,2024-01-02,5.49,20.54,4.23,0.08,6342.08,False,True
100001,2025-01-01,11.99,9.41,9.87,1.43,16268.53,False,False
100018,2024-05-01,21.6,8.28,9.49,1.17,15084.51,False,False
100002,2024-01-03,4.34,3.79,13.46,0.48,13066.71,False,False
100013,2026-01-04,18.07,16.36,5.98,1.21,1649.01,False,False
100009,2025-01-12,8.24,16.33,12.08,2.02,14107.45,False,False
100020,2025-01-01,17.03,20.49,16.02,1.39,7731.43,False,False
100015,2026-01-05,20.15,1.72,12.3,0.35,8581.9,False,False
100021,2025-01-01,0.95,13.76,13.33,0.96,6569.51,False,False
100004,2026-04-01,-6.42,14.94,8.58,0.33,13519.69,False,False
