transaction_id,investor_id,amfi_code,transaction_type,amount,transaction_date,kyc_status,state
TXN103011,INV4446,100022,SIP,19120.55,25/03/2024,Verified,Gujarat
TXN109189,INV4150,100025,LUMPSUM,413654.42,2025-07-05,VERIFIED,West Bengal
TXN110415,INV2463,100010,SIP,3955.24,2024-04-30,VERIFIED,Tamil Nadu
TXN110681,INV3122,100009,sip,11898.44,27-06-2025,PENDING,Uttar Pradesh
TXN105482,INV1170,100001,lump sum,237538.63,26-06-2024,verified,Uttar Pradesh
TXN102566,INV1433,100009,redeem,275070.39,2024-07-23,Verified,West Bengal
TXN114986,INV3010,100002,sip,16146.29,26-11-2025,KYC Verified,Kerala
TXN104396,INV3838,100021,SIP,16017.02,2024-09-19,Verified,Tamil Nadu
TXN102375,INV1552,100024,sip,7155.46,22/04/2026,VERIFIED,Telangana
TXN106716,INV1796,100015,SIP,9314.88,04-02-2025,rejected,Tamil Nadu
TXN112851,INV4678,100004,LUMPSUM,328692.62,2024-04-08,KYC Verified,Rajasthan
TXN110194,INV4110,100009,S.I.P.,2669.58,05-04-2025,KYC Verified,Delhi
TXN108679,INV3654,100014,Redeem,86759.95,24/11/2024,VERIFIED,West Bengal
TXN112122,INV1544,100019,sip,12780.46,24-08-2025,pending,Delhi
TXN106178,INV1390,100005,SIP,8551.44,18-03-2026,KYC Verified,Gujarat
TXN103921,INV3911,100017,SIP,24305.44,2025-05-04,VERIFIED,Gujarat
TXN109734,INV4530,100003,Sip,24819.32,2024-04-10,KYC Verified,Gujarat
TXN100677,INV3368,100007,lump sum,370382.41,31-01-2025,verified,Karnataka
TXN109282,INV2802,100013,sip,16615.58,16/11/2024,KYC Verified,Gujarat
TXN108889,INV1245,100003,LUMPSUM,257355.0,18/06/2025,KYC Verified,Uttar Pradesh
TXN100638,INV1652,100019,sip,1291.4,15-09-2024,KYC Verified,West Bengal
TXN100558,INV3766,100005,Lumpsum,321361.99,10/01/2024,verified,Kerala
TXN110007,INV2333,100001,Lump Sum,248801.5,23-01-2025,Verified,Maharashtra
TXN113581,INV4685,100014,Lumpsum,22462.69,16/01/2026,Verified,West Bengal
TXN104349,INV1895,100014,S.I.P.,18355.75,2026-01-09,verified,Delhi
TXN105133,INV2212,100018,LUMPSUM,374714.68,20-05-2026,Verified,Maharashtra
TXN113212,INV3355,100008,S.I.P.,21946.81,20-12-2024,pending,Gujarat
TXN103014,INV1494,100011,Redeem,21099.75,14/09/2024,verified,Tamil Nadu
TXN103216,INV4011,100007,Lump Sum,213437.14,20/12/2024,verified,Karnataka
TXN102852,INV4176,100018,Sip,16508.26,30/01/2026,Pending,Kerala
TXN110667,INV4063,100001,Redeem,177965.29,16-01-2026,Verified,Uttar Pradesh
TXN112126,INV2160,100003,S.I.P.,20662.66,06-07-2024,verified,Tamil Nadu
TXN106737,INV2843,100024,Redeem,215132.4,07-06-2024,pending,Kerala
TXN107086,INV2198,100015,lump sum,448008.36,2024-02-17,verified,Kerala
TXN104186,INV2415,100024,Redeem,289868.78,06/01/2024,verified,Karnataka
TXN100841,INV3306,100002,S.I.P.,24234.07,29-02-2024,Verified,West Bengal
TXN109915,INV4633,100001,Sip,18380.79,07-03-2026,KYC Verified,Uttar Pradesh
TXN108446,INV3427,100014,S.I.P.,1089.9,06-12-2025,Pending,Maharashtra
TXN100446,INV1983,100008,S.I.P.,21983.39,2024-05-09,VERIFIED,Maharashtra
TXN105182,INV1374,100019,sip,19058.88,2026-01-31,KYC Verified,Uttar Pradesh
TXN109268,INV2823,100008,sip,3564.31,16-02-2026,VERIFIED,Tamil Nadu
TXN103956,INV4550,100017,LUMPSUM,79611.89,21/12/2024,VERIFIED,Tamil Nadu
TXN106844,INV1931,100020,LUMPSUM,353864.48,2024-09-07,VERIFIED,Telangana
TXN113514,INV3495,100008,SIP,2641.35,20/06/2026,Verified,Kerala
TXN105694,INV3928,100004,lump sum,298943.42,21/09/2024,KYC Verified,Kerala
TXN110885,INV1161,100005,Lumpsum,105149.81,2025-02-08,VERIFIED,Rajasthan
TXN114304,INV3153,100020,Sip,13762.25,20/09/2025,VERIFIED,Karnataka
TXN107768,INV1736,100002,sip,11924.9,2025-12-15,Verified,West Bengal
TXN109601,INV4951,100010,Redemption,237565.41,2024-06-20,KYC Verified,Delhi
TXN106248,INV1571,100016,Lump Sum,180045.61,2025-07-30,VERIFIED,Maharashtra
TXN113400,INV4015,100006,Sip,2311.18,2024-08-20,KYC Verified,Karnataka
TXN101745,INV2340,100004,Lump Sum,443382.8,12-01-2026,Rejected,West Bengal
TXN111488,INV4842,100019,lump sum,288303.65,26/09/2025,PENDING,Delhi
TXN105150,INV4522,100006,Sip,18657.82,10-02-2025,KYC Verified,Delhi
TXN103798,INV1062,100003,sip,14838.73,26-01-2024,Verified,Rajasthan
TXN107030,INV1216,100023,Sip,4193.9,30-01-2024,Verified,Tamil Nadu
TXN104309,INV2760,100020,sip,23061.11,03/02/2025,PENDING,Rajasthan
TXN102688,INV2772,100012,lump sum,106454.04,10/07/2025,KYC Verified,Delhi
TXN110508,INV2799,100020,Sip,14663.37,15/04/2026,KYC Verified,Uttar Pradesh
TXN110570,INV1716,100023,Lumpsum,303201.56,23/10/2024,VERIFIED,Telangana
TXN113722,INV3674,100007,sip,20204.69,22-01-2026,Verified,Kerala
TXN110408,INV3068,100012,Redemption,43393.57,27-01-2025,Verified,Telangana
TXN108083,INV3129,100021,Sip,576.22,10-09-2025,KYC Verified,Maharashtra
TXN100718,INV2496,100018,S.I.P.,21736.18,2025-08-30,VERIFIED,Tamil Nadu
TXN103232,INV1562,100021,Lumpsum,139043.67,08-10-2025,Verified,Gujarat
TXN107951,INV2767,100017,SIP,14144.86,11/10/2025,Verified,Telangana
TXN104184,INV3132,100012,REDEMPTION,19165.37,2025-05-07,VERIFIED,Tamil Nadu
TXN114885,INV3721,100013,Sip,13712.05,08-04-2026,KYC Verified,Karnataka
TXN110304,INV3518,100024,Lumpsum,383705.89,08/01/2025,Verified,Delhi
TXN103219,INV3586,100003,lump sum,43360.53,2026-02-04,Verified,Uttar Pradesh
