amfi_code,scheme_name,nav_date,nav
100005,Kotak ELSS Fund - Direct Plan,17/04/2024,170.7072
100023,SBI Small Cap Fund - Direct Plan,25-12-2024,55.6071
100002,ICICI Pru Mid Cap Fund - Regular Plan,29/01/2025,157.9012
100004,Axis Flexi Cap Fund - Regular Plan,29-04-2025,272.299
100010,DSP Focused Fund - Regular Plan,2026-02-27,148.0842
100004,Axis Flexi Cap Fund - Regular Plan,10-06-2024,234.0002
100015,Kotak ELSS Fund - Direct Plan,11/12/2024,122.3681
100010,DSP Focused Fund - Regular Plan,2025-07-03,169.6051
100016,Nippon India Debt - Short Duration Fund - Regular Plan,14/02/2024,122.6937
100007,UTI Hybrid - Aggressive Fund - Direct Plan,04-09-2025,95.6028
100005,Kotak ELSS Fund - Direct Plan,18-07-2025,154.7163
100019,Mirae Asset Multi Cap Fund - Direct Plan,2024-08-14,75.1195
100017,UTI Hybrid - Aggressive Fund - Direct Plan,2025-05-21,225.8384
100016,Nippon India Debt - Short Duration Fund - Regular Plan,2024-12-02,134.0168
100006,Nippon India Debt - Short Duration Fund - Regular Plan,03-02-2025,120.8011
100008,Aditya Birla SL Index Fund Fund - Regular Plan,13-05-2026,36.7212
100024,Axis Flexi Cap Fund - Regular Plan,10/11/2025,87.3023
100009,Mirae Asset Multi Cap Fund - Direct Plan,2024-07-29,68.456
100014,Axis Flexi Cap Fund - Regular Plan,2025-07-03,75.0766
100003,SBI Small Cap Fund - Direct Plan,2025-07-04,130.0833
100013,SBI Small Cap Fund - Direct Plan,26/06/2025,91.8224
100014,Axis Flexi Cap Fund - Regular Plan,07-03-2025,82.5615
100025,Kotak ELSS Fund - Direct Plan,2026-06-18,23.341
100003,SBI Small Cap Fund - Direct Plan,25-03-2024,108.9418
100008,Aditya Birla SL Index Fund Fund - Regular Plan,20-08-2025,33.837
100004,Axis Flexi Cap Fund - Regular Plan,16-04-2025,267.2248
100005,Kotak ELSS Fund - Direct Plan,29/10/2024,167.0007
100002,ICICI Pru Mid Cap Fund - Regular Plan,27-03-2025,156.5345
100024,Axis Flexi Cap Fund - Regular Plan,22-01-2025,83.3234
100008,Aditya Birla SL Index Fund Fund - Regular Plan,2024-09-25,32.092
100025,Kotak ELSS Fund - Direct Plan,20-01-2025,20.9778
100008,Aditya Birla SL Index Fund Fund - Regular Plan,2024-06-06,32.2152
100006,Nippon India Debt - Short Duration Fund - Regular Plan,07-06-2024,111.7488
100022,ICICI Pru Mid Cap Fund - Regular Plan,18/06/2026,134.8368
100021,HDFC Large Cap Fund - Direct Plan,2025-02-12,213.6941
100016,Nippon India Debt - Short Duration Fund - Regular Plan,08/01/2024,121.3957
100008,Aditya Birla SL Index Fund Fund - Regular Plan,2024-01-11,31.9585
100007,UTI Hybrid - Aggressive Fund - Direct Plan,20-05-2026,105.2924
100025,Kotak ELSS Fund - Direct Plan,25-01-2024,19.9643
100019,Mirae Asset Multi Cap Fund - Direct Plan,2026-05-26,81.5556
100011,HDFC Large Cap Fund - Direct Plan,12-09-2025,111.7819
100022,ICICI Pru Mid Cap Fund - Regular Plan,2024-04-23,108.7513
100004,Axis Flexi Cap Fund - Regular Plan,02/04/2026,282.0321
100023,SBI Small Cap Fund - Direct Plan,2025-10-15,67.0164
100004,Axis Flexi Cap Fund - Regular Plan,13-08-2024,238.1027
100002,ICICI Pru Mid Cap Fund - Regular Plan,17-06-2025,182.7803
100016,Nippon India Debt - Short Duration Fund - Regular Plan,11/03/2024,124.0901
100013,SBI Small Cap Fund - Direct Plan,11/09/2025,94.4269
100002,ICICI Pru Mid Cap Fund - Regular Plan,12/04/2024,
100007,UTI Hybrid - Aggressive Fund - Direct Plan,27-10-2025,98.9249
100018,Aditya Birla SL Index Fund Fund - Regular Plan,26-08-2024,95.8362
100015,Kotak ELSS Fund - Direct Plan,21/10/2024,130.4266
100001,HDFC Large Cap Fund - Direct Plan,2024-04-04,103.8265
100011,HDFC Large Cap Fund - Direct Plan,2025-03-12,114.7617
100002,ICICI Pru Mid Cap Fund - Regular Plan,2026-04-09,213.0907
100019,Mirae Asset Multi Cap Fund - Direct Plan,29-02-2024,84.811
100002,ICICI Pru Mid Cap Fund - Regular Plan,19-06-2025,183.1406
100016,Nippon India Debt - Short Duration Fund - Regular Plan,24/04/2025,119.721
100010,DSP Focused Fund - Regular Plan,09-09-2024,168.8044
100019,Mirae Asset Multi Cap Fund - Direct Plan,20/03/2026,89.3753
100005,Kotak ELSS Fund - Direct Plan,2025-02-07,169.7702
100011,HDFC Large Cap Fund - Direct Plan,27-06-2024,110.7127
100007,UTI Hybrid - Aggressive Fund - Direct Plan,25-02-2026,100.2491
100002,ICICI Pru Mid Cap Fund - Regular Plan,2025-09-12,
100022,ICICI Pru Mid Cap Fund - Regular Plan,09/05/2024,106.877
100019,Mirae Asset Multi Cap Fund - Direct Plan,04/11/2025,93.5931
100004,Axis Flexi Cap Fund - Regular Plan,24/06/2025,263.6988
100004,Axis Flexi Cap Fund - Regular Plan,12-12-2025,272.5708
100025,Kotak ELSS Fund - Direct Plan,27/01/2025,21.5232
100007,UTI Hybrid - Aggressive Fund - Direct Plan,14-03-2024,100.0631
100022,ICICI Pru Mid Cap Fund - Regular Plan,29/08/2025,119.8877
100010,DSP Focused Fund - Regular Plan,2025-04-14,164.2628
100024,Axis Flexi Cap Fund - Regular Plan,14/02/2024,85.5425
100008,Aditya Birla SL Index Fund Fund - Regular Plan,20/11/2024,30.6492
100004,Axis Flexi Cap Fund - Regular Plan,2024-08-01,239.0049
100022,ICICI Pru Mid Cap Fund - Regular Plan,2024-02-07,92.7791
100007,UTI Hybrid - Aggressive Fund - Direct Plan,31/12/2025,100.958
100016,Nippon India Debt - Short Duration Fund - Regular Plan,01/04/2026,148.6378
100022,ICICI Pru Mid Cap Fund - Regular Plan,24/04/2025,108.3317
100012,ICICI Pru Mid Cap Fund - Regular Plan,2024-12-09,184.0568
100020,DSP Focused Fund - Regular Plan,08/01/2025,250.0106
100012,ICICI Pru Mid Cap Fund - Regular Plan,2025-06-03,166.8255
100021,HDFC Large Cap Fund - Direct Plan,10/07/2024,188.3382
100003,SBI Small Cap Fund - Direct Plan,17-10-2024,123.8647
100010,DSP Focused Fund - Regular Plan,2026-03-17,151.8602
100011,HDFC Large Cap Fund - Direct Plan,2026-06-23,125.8861
100007,UTI Hybrid - Aggressive Fund - Direct Plan,07-07-2025,94.5342
100003,SBI Small Cap Fund - Direct Plan,07/05/2024,109.8006
100023,SBI Small Cap Fund - Direct Plan,03-01-2024,49.7207
100003,SBI Small Cap Fund - Direct Plan,31-12-2024,115.6861
100020,DSP Focused Fund - Regular Plan,12-12-2024,246.4334
100003,SBI Small Cap Fund - Direct Plan,21/04/2025,126.1396
100021,HDFC Large Cap Fund - Direct Plan,2024-07-18,188.4677
100025,Kotak ELSS Fund - Direct Plan,06-02-2025,
100023,SBI Small Cap Fund - Direct Plan,2024-09-24,54.3255
100017,UTI Hybrid - Aggressive Fund - Direct Plan,17-01-2025,
100018,Aditya Birla SL Index Fund Fund - Regular Plan,26/03/2026,119.9899
100019,Mirae Asset Multi Cap Fund - Direct Plan,23-07-2025,86.3898
100019,Mirae Asset Multi Cap Fund - Direct Plan,2026-02-05,91.3303
100009,Mirae Asset Multi Cap Fund - Direct Plan,2025-07-21,65.2615
100010,DSP Focused Fund - Regular Plan,2024-05-23,144.7628
100024,Axis Flexi Cap Fund - Regular Plan,20/12/2024,86.5583
100002,ICICI Pru Mid Cap Fund - Regular Plan,2026-06-05,224.6123
100024,Axis Flexi Cap Fund - Regular Plan,2025-07-17,97.48
100018,Aditya Birla SL Index Fund Fund - Regular Plan,2024-06-10,97.936
100016,Nippon India Debt - Short Duration Fund - Regular Plan,25-03-2025,118.4684
100018,Aditya Birla SL Index Fund Fund - Regular Plan,02-07-2024,100.491
100015,Kotak ELSS Fund - Direct Plan,2024-04-16,132.9459
100001,HDFC Large Cap Fund - Direct Plan,11/08/2024,112.2141
